angle,distance
70.026855,0.000000
70.114746,0.000000
70.230103,0.000000
70.323486,0.000000
70.416870,0.000000
70.532227,0.000000
70.620117,0.000000
70.823364,0.000000
70.949707,0.000000
71.015625,0.000000
71.158447,0.000000
71.213379,0.000000
71.367188,0.000000
71.575928,0.000000
71.718750,0.000000
71.784668,0.000000
71.916504,0.000000
71.993408,0.000000
72.119751,0.000000
72.312012,0.000000
72.515259,0.000000
72.828369,0.000000
73.108521,0.000000
73.295288,0.000000
73.701782,0.000000
74.729004,1024.000000
74.932251,1014.000000
75.124512,1006.000000
75.327759,1000.000000
75.338745,0.000000
75.531006,992.000000
75.778198,982.000000
75.964966,976.000000
76.168213,972.000000
76.371460,970.000000
76.558228,968.000000
76.591187,0.000000
76.761475,962.000000
76.799927,0.000000
76.964722,960.000000
77.151489,956.000000
77.354736,952.000000
77.426147,0.000000
77.557983,950.000000
77.744751,948.000000
77.947998,946.000000
78.200684,944.000000
78.403931,940.000000
78.590698,936.000000
78.793945,936.000000
78.997192,934.000000
79.183960,932.000000
79.387207,930.000000
79.573975,930.000000
79.777222,928.000000
79.980469,928.000000
80.167236,926.000000
80.370483,924.000000
80.573730,922.000000
80.760498,922.000000
80.963745,922.000000
81.166992,920.000000
81.359253,922.000000
81.562500,920.000000
81.749268,920.000000
81.952515,920.000000
82.155762,918.000000
82.342529,918.000000
82.545776,918.000000
82.749023,918.000000
82.935791,918.000000
83.139038,918.000000
83.342285,920.000000
83.529053,918.000000
83.732300,918.000000
83.919067,920.000000
84.122314,920.000000
84.325562,920.000000
84.512329,922.000000
84.715576,922.000000
84.918823,922.000000
85.105591,924.000000
85.308838,926.000000
85.495605,926.000000
85.698853,928.000000
85.902100,928.000000
86.088867,928.000000
86.292114,930.000000
86.495361,932.000000
86.682129,934.000000
86.885376,936.000000
87.088623,938.000000
87.280884,942.000000
87.484131,942.000000
87.670898,942.000000
87.874146,944.000000
88.011475,948.000000
88.214722,952.000000
88.401489,954.000000
88.604736,958.000000
88.791504,964.000000
88.994751,968.000000
89.197998,968.000000
89.390259,972.000000
89.593506,976.000000
89.780273,980.000000
89.917603,986.000000
90.120850,994.000000
90.324097,1000.000000
90.510864,1010.000000
90.714111,1018.000000
91.043701,1030.000000
92.043457,0.000000
92.230225,0.000000
92.433472,0.000000
92.620239,0.000000
92.823486,0.000000
93.026733,0.000000
93.213501,0.000000
93.416748,0.000000
93.609009,0.000000
93.812256,0.000000
94.015503,0.000000
94.202271,0.000000
94.405518,0.000000
94.592285,0.000000
94.795532,0.000000
94.976807,0.000000
94.998779,0.000000
95.185547,0.000000
95.388794,0.000000
95.394287,0.000000
95.575562,0.000000
95.603027,0.000000
95.778809,0.000000
95.811768,0.000000
95.982056,0.000000
96.020508,0.000000
96.168823,0.000000
96.229248,0.000000
96.372070,0.000000
96.437988,0.000000
96.558838,0.000000
96.646729,0.000000
96.762085,0.000000
96.855469,0.000000
96.965332,0.000000
97.064209,0.000000
97.272949,0.000000
97.542114,0.000000
98.838501,1340.000000
99.030762,1326.000000
99.234009,1318.000000
99.437256,1318.000000
99.624023,1308.000000
99.827271,1302.000000
100.074463,1294.000000
100.277710,1288.000000
100.464478,1284.000000
100.667725,1280.000000
100.854492,1278.000000
101.057739,1274.000000
101.260986,1268.000000
101.447754,1264.000000
101.651001,1262.000000
101.843262,1258.000000
102.046509,1258.000000
102.233276,1256.000000
102.436523,1252.000000
102.639771,1250.000000
102.826538,1248.000000
102.914429,0.000000
103.029785,1246.000000
103.123169,0.000000
103.216553,1246.000000
103.419800,1246.000000
103.546143,0.000000
103.623047,1244.000000
103.809814,1246.000000
104.013062,1244.000000
104.199829,1244.000000
104.403076,1244.000000
104.606323,1242.000000
104.793091,1242.000000
104.996338,1242.000000
105.183105,1242.000000
105.386353,1244.000000
105.589600,1244.000000
105.776367,1246.000000
105.979614,1246.000000
106.171875,1248.000000
106.369629,1248.000000
106.561890,1250.000000
106.765137,1252.000000
106.951904,1252.000000
107.155151,1252.000000
107.341919,1256.000000
107.545166,1260.000000
107.731934,1260.000000
107.935181,1262.000000
108.121948,1268.000000
108.325195,1270.000000
108.528442,1272.000000
108.715210,1274.000000
108.918457,1280.000000
109.105225,1284.000000
109.308472,1288.000000
109.495239,1290.000000
109.638062,1298.000000
109.841309,1304.000000
110.028076,1314.000000
110.231323,1332.000000
110.418091,1334.000000
110.621338,1336.000000
110.808105,1348.000000
112.401123,1570.000000
112.604370,1558.000000
112.796631,1554.000000
112.999878,1546.000000
113.186646,1540.000000
113.450317,1536.000000
113.637085,1536.000000
113.840332,1536.000000
114.027100,1536.000000
114.230347,1532.000000
114.417114,1526.000000
114.620361,1536.000000
114.763184,1542.000000
115.010376,1532.000000
115.153198,1552.000000
115.339966,1558.000000
115.543213,1544.000000
115.729980,1562.000000
115.933228,1580.000000
116.707764,0.000000
116.916504,0.000000
117.125244,0.000000
117.333984,0.000000
117.355957,0.000000
117.542725,0.000000
