angle,distance
119.514771,2520.000000
119.718018,2532.000000
119.904785,2528.000000
120.294800,2516.000000
120.651855,1972.000000
121.058350,1940.000000
122.349243,0.000000
122.557983,0.000000
122.766724,0.000000
122.975464,0.000000
123.184204,0.000000
123.392944,0.000000
123.403931,1898.000000
123.601685,0.000000
123.651123,1882.000000
123.810425,0.000000
123.854370,1862.000000
124.046631,1868.000000
124.249878,1872.000000
124.573975,1896.000000
126.947021,0.000000
127.529297,1920.000000
127.573242,0.000000
127.732544,1916.000000
127.935791,1916.000000
127.990723,0.000000
128.122559,1930.000000
128.199463,0.000000
128.325806,1952.000000
128.408203,0.000000
128.616943,0.000000
128.715820,1970.000000
128.825684,0.000000
129.034424,0.000000
129.243164,0.000000
129.248657,2060.000000
129.451904,0.000000
129.495850,1960.000000
129.660645,0.000000
129.699097,1972.000000
129.869385,0.000000
129.902344,1976.000000
130.078125,0.000000
130.089111,1976.000000
130.292358,1978.000000
130.479126,1978.000000
130.682373,1980.000000
130.885620,1984.000000
131.077881,1984.000000
131.281128,1990.000000
131.330566,0.000000
131.467896,1994.000000
131.671143,1994.000000
131.748047,0.000000
131.874390,1996.000000
131.956787,0.000000
132.165527,0.000000
132.264404,2000.000000
132.374268,0.000000
132.588501,0.000000
132.797241,0.000000
133.005981,0.000000
133.044434,1982.000000
133.214722,0.000000
133.247681,1990.000000
133.423462,0.000000
133.434448,2000.000000
133.632202,0.000000
133.637695,2020.000000
133.840942,2030.000000
133.840942,0.000000
134.027710,2038.000000
134.049683,0.000000
134.230957,2042.000000
134.258423,0.000000
134.417725,2042.000000
134.467163,0.000000
134.620972,2042.000000
134.824219,2044.000000
135.010986,2044.000000
135.153809,2052.000000
135.719604,0.000000
135.747070,2056.000000
135.889893,7208.000000
136.093140,7120.000000
136.137085,0.000000
136.296387,7120.000000
136.345825,0.000000
136.483154,7104.000000
136.686401,7104.000000
136.873169,7112.000000
137.076416,7096.000000
137.279663,7096.000000
137.466431,7088.000000
137.669678,7080.000000
137.856445,7072.000000
138.372803,4648.000000
138.559570,4640.000000
138.762817,4632.000000
138.966064,4624.000000
139.152832,4624.000000
139.356079,4632.000000
139.482422,0.000000
139.542847,4640.000000
139.899902,0.000000
140.026245,7016.000000
140.108643,0.000000
140.229492,7008.000000
140.317383,0.000000
140.421753,7008.000000
140.625000,7000.000000
140.811768,6984.000000
141.015015,6976.000000
141.218262,6984.000000
141.405029,6984.000000
141.608276,7000.000000
141.795044,6992.000000
141.998291,6976.000000
142.201538,6968.000000
142.388306,6960.000000
142.591553,6960.000000
142.794800,6944.000000
142.981567,6944.000000
143.031006,0.000000
143.184814,6976.000000
143.239746,0.000000
143.657227,0.000000
143.684692,4536.000000
143.865967,0.000000
143.887939,4544.000000
144.091187,4544.000000
144.277954,4544.000000
144.481201,4544.000000
144.871216,4552.000000
145.151367,6928.000000
145.354614,6928.000000
145.557861,6920.000000
145.744629,6912.000000
145.947876,6912.000000
146.151123,6904.000000
146.343384,6904.000000
146.376343,0.000000
146.546631,6904.000000
146.733398,6912.000000
147.139893,6920.000000
147.557373,3272.000000
147.749634,3260.000000
147.952881,3236.000000
148.046265,0.000000
148.156128,3216.000000
148.255005,0.000000
148.342896,3196.000000
148.546143,3188.000000
148.749390,3180.000000
148.936157,3144.000000
149.139404,3104.000000
149.386597,3072.000000
149.589844,3052.000000
149.776611,3040.000000
149.979858,3028.000000
