x, y
-666.805910, 1408.095834
-665.760001, 1393.089954
-678.111874, 1407.127673
-690.970965, 1420.900815
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-1152.469112, 2227.527541
-0.000000, 0.000000
-1154.811642, 2212.786947
-1162.018536, 2209.010847
-0.000000, 0.000000
-1171.722055, 2208.408347
-0.000000, 0.000000
-1177.028323, 2201.049824
-0.000000, 0.000000
-1184.828752, 2196.860676
-1195.804032, 2200.015618
-1205.523359, 2199.267476
-1220.634159, 2209.214397
-1222.622722, 2194.387769
-1228.439997, 2186.549605
-1241.472749, 2192.976382
-1255.192915, 2198.980388
-1260.360030, 2191.409728
-1269.194337, 2172.418407
-1005.365475, 1696.474067
-1000.866837, 1661.886150
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-1044.921147, 1584.469563
-0.000000, 0.000000
-1042.881159, 1566.627872
-0.000000, 0.000000
-1037.290254, 1546.309454
-1045.832379, 1547.791535
-1053.567528, 1547.378255
-1075.922730, 1561.155431
-0.000000, 0.000000
-1169.600664, 1522.640564
-0.000000, 0.000000
-1172.546697, 1515.318528
-1177.914645, 1511.149592
-0.000000, 0.000000
-1191.477125, 1518.315600
-0.000000, 0.000000
-1210.498498, 1531.338430
-0.000000, 0.000000
-0.000000, 0.000000
-1232.152501, 1537.107743
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-1303.335591, 1595.279392
-0.000000, 0.000000
-1246.603754, 1512.474489
-0.000000, 0.000000
-1259.626215, 1517.275782
-0.000000, 0.000000
-1267.566481, 1515.866490
-0.000000, 0.000000
-1272.501022, 1511.726546
-1279.148974, 1508.728571
-1284.060186, 1504.550909
-1290.692966, 1501.503136
-1298.629366, 1499.939255
-1303.655216, 1495.573160
-1312.910820, 1495.448153
-0.000000, 0.000000
-1320.427363, 1494.157816
-1325.719316, 1489.464432
-0.000000, 0.000000
-1332.329586, 1486.241526
-0.000000, 0.000000
-0.000000, 0.000000
-1345.105758, 1480.098139
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-0.000000, 0.000000
-1352.844482, 1448.494324
-0.000000, 0.000000
-1363.455475, 1449.513424
-0.000000, 0.000000
-1375.048458, 1452.322877
-0.000000, 0.000000
-1393.993581, 1461.910358
-1406.097267, 1464.168869
-0.000000, 0.000000
-1416.422602, 1465.329660
-0.000000, 0.000000
-1424.401897, 1463.162067
-0.000000, 0.000000
-1429.163804, 1458.511166
-0.000000, 0.000000
-1434.328623, 1453.432283
-1440.885260, 1449.753657
-1445.603372, 1445.049096
-1454.872998, 1447.082776
-0.000000, 0.000000
-1472.643436, 1434.732488
-5175.369388, 5017.052491
-5129.732741, 4937.635265
-0.000000, 0.000000
-5147.215853, 4919.407379
-0.000000, 0.000000
-5151.621565, 4891.585761
-5168.941187, 4873.280518
-5190.637912, 4861.874337
-5196.135691, 4832.534519
-5213.245560, 4814.071742
-5223.015257, 4791.644355
-5234.065708, 4767.699253
-5243.647457, 4745.244498
-3474.300299, 3087.578571
-3478.349277, 3070.942251
-3483.205118, 3053.310680
-3487.979715, 3035.683368
-3497.856611, 3024.297460
-3514.632942, 3017.081253
-0.000000, 0.000000
-3530.536190, 3010.799596
-0.000000, 0.000000
-5376.633024, 4507.335502
-0.000000, 0.000000
-5386.439267, 4483.116775
-0.000000, 0.000000
-5401.452384, 4465.016925
-5411.073174, 4440.752989
-5413.118774, 4412.980980
-5422.520499, 4388.718200
-5444.290885, 4374.465998
-5458.521422, 4356.695983
-5486.482217, 4347.241986
-5494.337360, 4324.386774
-5497.034910, 4295.018416
-5505.914771, 4270.588547
-5513.469050, 4247.735754
-5528.502452, 4228.150972
-5530.722685, 4198.838242
-5544.380268, 4180.787419
-0.000000, 0.000000
-5584.794311, 4180.268952
-0.000000, 0.000000
-0.000000, 0.000000
-3654.973112, 2686.348368
-0.000000, 0.000000
-3670.942388, 2678.081027
-3680.419310, 2665.042158
-3689.087003, 2653.030924
-3698.474950, 2639.927848
-3722.902106, 2619.294545
-5685.563588, 3958.730944
-5699.570713, 3938.537505
-5706.908536, 3913.769917
-5713.023649, 3890.643235
-5726.789073, 3870.352815
-5733.838357, 3845.557658
-5746.710139, 3826.295673
-0.000000, 0.000000
-5760.247089, 3805.886161
-5779.311564, 3791.477528
-5812.785121, 3754.720913
-2761.335842, 1755.280139
-2757.061580, 1739.600944
-2742.872472, 1717.075014
-0.000000, 0.000000
-2731.956455, 1696.782228
-0.000000, 0.000000
-2720.448862, 1677.371155
-2719.557438, 1663.535796
-2718.602175, 1649.727921
-2693.128011, 1622.281577
-2664.529109, 1592.199934
-2643.833617, 1564.393749
-2632.117914, 1544.881642
-2626.770953, 1530.253038
-2621.792533, 1514.921751
